"filename";"caption";"date1";"date2";"date";"date3";"agent";"role";"agent2";"role2";"copyright";"source";"empty_column";"notes";"mon_id";"class_code";"classification";"agent3";"date_scan";"license";"url";"rights_text";"heidata";"heidoc"
"ACH0072_P_20220421_06";"{'en': {'direction': 'ltr', 'value': 'Vināyaka Pañcadevala Śikhara Temple 3, view from SE";"";"";"";"";"1248176";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"ACH0072";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"ACH0072_P_20220421_03";"{'en': {'direction': 'ltr', 'value': 'Vināyaka Pañcadevala Śikhara Temple 3, view from W";"";"";"";"";"1248176";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"ACH0072";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"ACH0072_H_1968_01";"{'en': {'direction': 'ltr', 'value': 'Vināyaka Pañcadevala Śikhara Temple 3, view from SE";"";"";"";"";"1264428";"photographer";"";"";"";"";"";"";"ACH0072";"4002855-0";"Architekturfotografie";"";"";"Free access - no reuse";"";"";"";""
"ACH0072_D_2022_floor_plan";"{'en': {'direction': 'ltr', 'value': 'Vināyaka Pañcadevala Śikhara Temple 3, floor plan";"";"";"";"";"";"draftsman";"";"";"Nepal Heritage Documentation Project";"";"";"";"ACH0072";"4068827-6";"Architekturzeichnung";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"ACH0072_D_2022_site_plan";"{'en': {'direction': 'ltr', 'value': 'Vināyaka Pañcadevala Śikhara Temple 3, site plan";"";"";"";"";"";"draftsman";"";"";"Nepal Heritage Documentation Project";"";"";"";"ACH0072";"4068827-6";"Architekturzeichnung";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"ACH0072_P_20220421_01";"{'en': {'direction': 'ltr', 'value': '\n\n'}}, {'en': {'direction': 'ltr', 'value': 'Vināyaka Pañcadevala Śikhara Temple 3, view from NE";"";"";"";"";"";"draftsman";"";"";"Nepal Heritage Documentation Project";"";"";"";"ACH0072";"4068827-6";"Architekturzeichnung";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"ACH0072_I_20220421_01";"{'en': {'direction': 'ltr', 'value': 'Vināyaka Pañcadevala Śikhara Temple 3, inscription from ŚS 1202, view from NE";"";"";"";"";"1248176";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"ACH0072";"4027107-9";"Inschrift";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"ACH0072_P_20220421_02";"{'en': {'direction': 'ltr', 'value': 'Vināyaka Pañcadevala Śikhara Temple 3, view from NW";"";"";"";"";"1248176";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"ACH0072";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"ACH0072_I_20220421_02";"{'en': {'direction': 'ltr', 'value': 'Vināyaka Pañcadevala Śikhara Temple 3, inscription from ŚS 1202,view from NE";"";"";"";"";"1248176";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"ACH0072";"4027107-9";"Inschrift";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"ACH0072_I_1968";"{'en': {'direction': 'ltr', 'value': 'Vināyaka Pañcadevala Śikhara Temple 3, detail of inscription from ŚS 1202, view from NE";"";"";"";"";"1264428";"photographer";"";"";"";"";"";"";"ACH0072";"4027107-9";"Inschrift";"";"";"Free access - no reuse";"";"";"";""
"ACH0073_P_20220420_03";"{'en': {'direction': 'ltr', 'value': 'Vināyaka Pañcadevala Kālikā Devī Mandira, view from N";"";"";"";"";"1248176";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"ACH0073";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"ACH0073_P_20220420_07";"{'en': {'direction': 'ltr', 'value': 'Vināyaka Pañcadevala Kālikā Devī Mandira, roof, view from E";"";"";"";"";"1248176";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"ACH0073";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"ACH0073_D_2022_floor_plan";"{'en': {'direction': 'ltr', 'value': 'Vināyaka Pañcadevala Kālikā Devī Mandira, floor plan";"";"";"";"";"";"draftsman";"";"";"Nepal Heritage Documentation Project";"";"";"";"ACH0073";"4068827-6";"Architekturzeichnung";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"ACH0073_D_2022_site_plan";"{'en': {'direction': 'ltr', 'value': 'Vināyaka Pañcadevala Kālikā Devī Mandira, site plan";"";"";"";"";"";"draftsman";"";"";"Nepal Heritage Documentation Project";"";"";"";"ACH0073";"4068827-6";"Architekturzeichnung";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"ACH0073_P_20220420_08";"{'en': {'direction': 'ltr', 'value': 'Vināyaka Pañcadevala Kālikā Devī Mandira, sanctum, view from NE";"";"";"";"";"1248176";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"ACH0073";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
